symbol, exchange, securityType, currency, expiry, localSymbol, listingExchange, multiplier, right, strike, tradingClass 
//BTU,NYSE,STOCK,USD, , , , , , , 
AA,NYSE,STOCK,USD, , , , , , , 
//CHK,NYSE,STOCK,USD, , , , , , , 
//FCZ,NYSE,STOCK,USD, , , , , , , 
S,NYSE,STOCK,USD, , , , , , , 
PFE,NYSE,STOCK,USD, , , , , , , 
//RF,NYSE,STOCK,USD, , , , , , , 
GM,NYSE,STOCK,USD, , , , , , , 
RAD,NYSE,STOCK,USD, , , , , , , 
SD,NYSE,STOCK,USD, , , , , , , 
ABX,NYSE,STOCK,USD, , , , , , , 
TWTR,NYSE,STOCK,USD, , , , , , , 
HAL,NYSE,STOCK,USD, , , , , , , 
EMC,NYSE,STOCK,USD, , , , , , , 
ORCL,NYSE,STOCK,USD, , , , , , , 
VZ,NYSE,STOCK,USD, , , , , , , 
//NDK,NYSE,STOCK,USD, , , , , , , 
//BAX,NYSE,STOCK,USD, , , , , , , 
//HPQ,NYSE,STOCK,USD, , , , , , , 
//WFT,NYSE,STOCK,USD, , , , , , , 
//KMI,NYSE,STOCK,USD, , , , , , , 
//KO,NYSE,STOCK,USD, , , , , , , 
//VALEPR,NYSE,STOCK,USD, , , , , , , 
//TSM,NYSE,STOCK,USD, , , , , , , 
//XRX,NYSE,STOCK,USD, , , , , , , 
BABA,NYSE,STOCK,USD, , , , , , , 
NE,NYSE,STOCK,USD, , , , , , , 
//SFUN,NYSE,STOCK,USD, , , , , , , 
ABEV,NYSE,STOCK,USD, , , , , , , 
//RIG,NYSE,STOCK,USD, , , , , , , 
//DNR,NYSE,STOCK,USD, , , , , , , 
//FIT,NYSE,STOCK,USD, , , , , , , 
//DAL,NYSE,STOCK,USD, , , , , , , 
XOM,NYSE,STOCK,USD, , , , , , , 
//ITUB,NYSE,STOCK,USD, , , , , , , 
//SDRL,NYSE,STOCK,USD, , , , , , , 
//GLW,NYSE,STOCK,USD, , , , , , , 
//CX,NYSE,STOCK,USD, , , , , , , 
//WPX,NYSE,STOCK,USD, , , , , , , 
//WMB,NYSE,STOCK,USD, , , , , , , 
//SUNE,NYSE,STOCK,USD, , , , , , , 
//MGM,NYSE,STOCK,USD, , , , , , , 
//NLY,NYSE,STOCK,USD, , , , , , , 
//AUY,NYSE,STOCK,USD, , , , , , , 
//KGC,NYSE,STOCK,USD, , , , , , , 
//KEY,NYSE,STOCK,USD, , , , , , , 
//MBI,NYSE,STOCK,USD, , , , , , , 
//CLF,NYSE,STOCK,USD, , , , , , , 
//OAS,NYSE,STOCK,USD, , , , , , , 
//MRO,NYSE,STOCK,USD, , , , , , , 
//ECA,NYSE,STOCK,USD, , , , , , , 
//X,NYSE,STOCK,USD, , , , , , , 
//AKS,NYSE,STOCK,USD, , , , , , , 
//LUV,NYSE,STOCK,USD, , , , , , , 
//BSX,NYSE,STOCK,USD, , , , , , , 
AAPL,BATS,STOCK,USD, , , , , , , 
GOOGL,BATS,STOCK,USD, , , , , , , 
GOOG,BATS,STOCK,USD, , , , , , , 
MSFT,BATS,STOCK,USD, , , , , , , 
FB,BATS,STOCK,USD, , , , , , , 
AMZN,BATS,STOCK,USD, , , , , , , 
//INTC,BATS,STOCK,USD, , , , , , , 
//GILD,BATS,STOCK,USD, , , , , , , 
//CMCSK,BATS,STOCK,USD, , , , , , , 
//CMCSA,BATS,STOCK,USD, , , , , , , 
CSCO,BATS,STOCK,USD, , , , , , , 
AMGN,BATS,STOCK,USD, , , , , , , 
WBA,BATS,STOCK,USD, , , , , , , 
//QCOM,BATS,STOCK,USD, , , , , , , 
//CELG,BATS,STOCK,USD, , , , , , , 
KHC,BATS,STOCK,USD, , , , , , , 
SBUX,BATS,STOCK,USD, , , , , , , 
//MDLX,BATS,STOCK,USD, , , , , , , 
//PCLN,BATS,STOCK,USD, , , , , , , 
COST,BATS,STOCK,USD, , , , , , , 
BIIB,BATS,STOCK,USD, , , , , , , 
FOX,BATS,STOCK,USD, , , , , , , 
TXN,BATS,STOCK,USD, , , , , , , 
//ESRX,BATS,STOCK,USD, , , , , , , 
//REGN,BATS,STOCK,USD, , , , , , , 
ADBE,BATS,STOCK,USD, , , , , , , 
BIDU,BATS,STOCK,USD, , , , , , , 
NFLX,BATS,STOCK,USD, , , , , , , 
PYPL,BATS,STOCK,USD, , , , , , , 
ADP,BATS,STOCK,USD, , , , , , , 
CTSH,BATS,STOCK,USD, , , , , , , 
QQQ,BATS,STOCK,USD, , , , , , , 
//LBTYB,BATS,STOCK,USD, , , , , , , 
ALXN,BATS,STOCK,USD, , , , , , , 
//LBTYK,BATS,STOCK,USD, , , , , , , 
FOXA,BATS,STOCK,USD, , , , , , , 
//LILA,BATS,STOCK,USD, , , , , , , 
//LILAK,BATS,STOCK,USD, , , , , , , 
//AVGO,BATS,STOCK,USD, , , , , , , 
EBAY,BATS,STOCK,USD, , , , , , , 
//BRCM,BATS,STOCK,USD, , , , , , , 
CME,BATS,STOCK,USD, , , , , , , 
YHOO,BATS,STOCK,USD, , , , , , , 
AAL,BATS,STOCK,USD, , , , , , , 
MNST,BATS,STOCK,USD, , , , , , , 
DISH,BATS,STOCK,USD, , , , , , , 
VRTX,BATS,STOCK,USD, , , , , , , 
INTU,BATS,STOCK,USD, , , , , , , 
TSLA,BATS,STOCK,USD, , , , , , , 
//ORLY,BATS,STOCK,USD, , , , , , , 
//ATVI,BATS,STOCK,USD, , , , , , , 
//LVNTA,BATS,STOCK,USD, , , , , , , 
//LVNTB,BATS,STOCK,USD, , , , , , , 
//EA,BATS,STOCK,USD, , , , , , , 
//FISV,BATS,STOCK,USD, , , , , , , 
//NXPI,BATS,STOCK,USD, , , , , , , 
//CERN,BATS,STOCK,USD, , , , , , , 
//JD,BATS,STOCK,USD, , , , , , , 
//SIRI,BATS,STOCK,USD, , , , , , , 
//ILMN,BATS,STOCK,USD, , , , , , , 
//VIA,BATS,STOCK,USD, , , , , , , 
//CHTR,BATS,STOCK,USD, , , , , , , 
//ROST,BATS,STOCK,USD, , , , , , , 
//AMAT,BATS,STOCK,USD, , , , , , , 
//MYL,BATS,STOCK,USD, , , , , , , 
//MAR,BATS,STOCK,USD, , , , , , , 
//ADI,BATS,STOCK,USD, , , , , , , 
//INCY,BATS,STOCK,USD, , , , , , , 
//TROW,BATS,STOCK,USD, , , , , , , 
//MU,BATS,STOCK,USD, , , , , , , 
//PAYX,BATS,STOCK,USD, , , , , , , 
//ISRG,BATS,STOCK,USD, , , , , , , 
//VIAB,BATS,STOCK,USD, , , , , , , 
//QVCB,BATS,STOCK,USD, , , , , , , 
//QVCA,BATS,STOCK,USD, , , , , , , 
//EQIX,BATS,STOCK,USD, , , , , , , 
//BMRN,BATS,STOCK,USD, , , , , , , 
//SIAL,BATS,STOCK,USD, , , , , , , 
//EXPE,BATS,STOCK,USD, , , , , , , 
//NTRS,BATS,STOCK,USD, , , , , , , 
//IBRK,BATS,STOCK,USD, , , , , , , 
//SNDK,BATS,STOCK,USD, , , , , , , 
//WDC,BATS,STOCK,USD, , , , , , , 
